,name,model distance,euclidean distance,cosine distance
0,"('Aman', '.jpg')",0.238606175122919,0.23860617512291896,0.17957669367486598
1,"('Aman', '.png')",0.23686775675980665,0.23686775675980662,0.17833890734433852
2,"('Apman12', '.png')",0.4362206001693461,0.4362206001693461,0.3291379951432099
3,"('bhaskar', '.jpg')",0.6907217680193399,0.6907217680193399,0.5327185050491201
4,"('bhaskar', '.png')",0.6856454941292252,0.6856454941292252,0.529476835055512
5,"('down', '.jpg')",0.7544737061372067,0.7544737061372067,0.5434276368240172
6,"('glasses1', '.jpg')",0.7272402675144323,0.7272402675144323,0.5439590212936484
7,"('left', '.jpg')",0.7920357066953079,0.7920357066953077,0.5828212195402733
8,"('modi', '.jpeg')",0.585632168624495,0.5856321686244949,0.4490827772733531
9,"('normal', '.jpg')",0.7301547430452112,0.7301547430452112,0.5345108734978563
10,"('outlight', '.jpg')",0.7276507212700007,0.7276507212700007,0.5465100425850684
11,"('Ratan_Tata', '.jpeg')",0.7540969507718858,0.7540969507718855,0.5680704124706104
12,"('ravi bhandari', '.jpg')",0.7158096545816758,0.7158096545816757,0.537129442431983
